,glottocode,name,isocode,level,macroarea,latitude,longitude
124,adny1235,Adnyamathanha,adt,language,Australia,-30.1451,138.671
157,afri1274,Afrikaans,afr,language,Africa,-22.0,30.0
309,akka1240,Akkadian,akk,language,Eurasia,,
341,alab1237,Alabama,akz,language,North America,30.76738,-94.62848000000001
377,aleu1260,Aleut,ale,language,North America,52.1228,-174.29
380,alge1239,Algerian Arabic,arq,language,Africa,35.4208,3.23033
385,algo1255,Algonquin,alq,language,North America,47.3876,-77.5258
476,ambo1250,Ambonese Malay,abs,language,Papunesia,-3.7134199999999997,128.184
482,amda1238,Amdang,amj,language,Africa,14.7528,20.8912
489,amer1248,American Sign Language,ase,language,North America,33.8117,-81.6121
493,amha1245,Amharic,amh,language,Africa,11.708182,39.543456
546,anci1242,Ancient Greek,grc,language,Eurasia,39.8155,21.9129
556,anda1287,Andalusian Arabic,xaa,language,Eurasia,,
596,angl1258,Anglo-Norman,xno,dialect,,,
597,angl1239,Angloromani,rme,language,North America,39.0,-78.0
710,arag1245,Aragonese,arg,language,Eurasia,42.4669,-0.00919
791,nucl1235,Armenian,hye,language,Eurasia,40.0,45.0
798,arom1237,Aromanian,rup,language,Eurasia,42.0646,22.6464
803,fran1260,Arpitan,frp,language,Eurasia,45.8051,6.48152
875,assy1241,Assyrian Neo-Aramaic,aii,language,Eurasia,36.75,43.0
881,astu1245,Asturian,ast,language,Eurasia,42.4181,-6.02227
973,avar1256,Avar,ava,language,Eurasia,41.7047,46.558
981,aves1237,Avestan,ave,language,Eurasia,31.541,53.633
1276,balt1258,Balti,bft,language,Eurasia,34.4491,77.2859
1383,guar1293,Baniva de Maroa,gae,language,South America,1.80835,-66.922505
1535,bash1264,Bashkir,bak,language,Eurasia,53.5967,56.5594
1543,basq1248,Basque,eus,language,Eurasia,43.2787,-1.3162200000000002
1620,bava1246,Bavarian,bar,language,Eurasia,47.9232,13.245999999999999
1698,bela1254,Belarusian,bel,language,Eurasia,53.2307,25.6038
1745,beng1280,Bengali,ben,language,Eurasia,24.0,90.0
1936,bili1260,Bilin,byn,language,Africa,15.7833,38.3917
2003,bisl1239,Bislama,bis,language,Papunesia,-15.4,166.89
2288,bret1244,Breton,bre,language,Eurasia,48.2452,-3.78934
2395,bulg1262,Bulgarian,bul,language,Eurasia,43.3646,25.046999999999997
2477,nucl1310,Burmese,mya,language,Eurasia,20.7926,93.9665
2587,caju1236,Cajun French,frc,language,North America,29.6869,-91.6133
2602,calo1236,Caló,rmq,language,Eurasia,,
2680,stan1289,Catalan,cat,language,Eurasia,41.453,1.569
2683,cata1286,Catawba,chc,language,North America,34.9685,-80.8857
2700,cebu1242,Cebuano,ceb,language,Papunesia,8.38799,124.367
2704,celt1247,Celtiberian,xce,language,Eurasia,,
2756,cent2041,Central Grebo,grv,language,Africa,4.880380000000001,-7.88667
2771,cent1989,Central Khmer,khm,language,Eurasia,12.0515,105.015
2801,cent2194,Central Moroccan Berber,tzm,language,Africa,32.7415,-2.40872
2811,cent2126,Central Okinawan,ryu,language,Eurasia,26.14854,127.7816
2824,cent2128,Central Siberian Yupik,ess,language,Eurasia,63.4308,-170.27200000000002
2903,cham1318,Chamicuro,ccc,language,South America,-5.1149,-75.6778
2904,cham1312,Chamorro,cha,language,Papunesia,15.233332999999998,145.75
2956,chec1245,Chechen,che,language,Eurasia,43.5,45.5
2975,cher1273,Cherokee,chr,language,North America,35.4664,-83.163
3001,chic1270,Chickasaw,cic,language,North America,33.9452,-97.1301
3084,choc1276,Choctaw,cho,language,North America,33.8993,-94.819
3135,chur1257,Church Slavic,chu,language,Eurasia,43.7171,22.8442
3174,clas1249,Classical Armenian,xcl,language,Eurasia,,
3176,clas1250,Classical Nahuatl,nci,language,North America,19.72,-96.97
3177,clas1251,Classical Quechua,qwc,language,South America,-9.999989999999999,-76.5
3178,clas1252,Classical Syriac,syc,language,Eurasia,37.1129,42.1432
3185,coas1294,Coastal Kadazan,kzj,language,Papunesia,5.77065,116.06299999999999
3245,neap1235,Continental Southern Italian,nap,language,Eurasia,39.2288,16.4225
3252,copt1239,Coptic,cop,language,Africa,29.471999999999998,31.2053
3255,corn1251,Cornish,cor,language,Eurasia,50.5233,-4.18619
3279,chin1272,Creolized Grand Ronde Chinook Jargon,chn,language,North America,55.0,-125.0
3285,crim1257,Crimean Tatar,crh,language,Eurasia,45.0,34.08
3332,czec1258,Czech,ces,language,Eurasia,49.873398,15.104370000000001
3442,dani1285,Danish,dan,language,Eurasia,54.8655,9.36284
3634,dhiv1236,Dhivehi,div,language,Eurasia,1.928498,73.54433
3710,diti1235,Ditidaht,dtd,language,North America,,
3944,dutc1256,Dutch,nld,language,Eurasia,52.0,5.0
4009,east2544,Eastern Abenaki,aaq,language,North America,45.0112,-68.6617
4028,east2534,Eastern Canadian Inuktitut,ike,language,North America,62.1735,-75.6139
4086,nort2627,Eastern Low German,nds,language,Eurasia,50.771,6.0920000000000005
4119,panj1256,Eastern Panjabi,pan,language,Eurasia,30.0368,75.6702
4235,efik1245,Efik,efi,language,Africa,4.89379,8.381210000000001
4250,egyp1246,Egyptian (Ancient),egy,language,Africa,28.381735,30.834959
4251,egyp1253,Egyptian Arabic,arz,language,Africa,31.0,31.0
4317,eman1238,Eman,emn,language,Africa,6.22923,9.70562
4354,enge1239,Engenni,enn,language,Africa,5.11931,6.3733900000000006
4357,stan1293,English,eng,language,Eurasia,53.0,-1.0
4405,erzy1239,Erzya,myv,language,Eurasia,52.8548,45.3901
4419,espe1235,Esperanto,epo,language,Eurasia,49.3273,2.81045
4451,etru1241,Etruscan,ett,language,Eurasia,41.9,12.4833
4461,even1259,Evenki,evn,language,Eurasia,53.85,108.626
4465,ewee1241,Ewe,ewe,language,Africa,6.46061,0.814975
4524,faro1244,Faroese,fao,language,Eurasia,62.0732,-6.88497
4555,fiji1243,Fijian,fij,language,Papunesia,-18.0,178.33
4556,fiji1242,Fiji Hindi,hif,language,Papunesia,-17.8148,177.77200000000002
4567,finn1318,Finnish,fin,language,Eurasia,64.7628,25.5577
4596,fonn1241,Fon,fon,language,Africa,7.154839999999999,1.66495
4625,stan1290,French,fra,language,Eurasia,48.0,2.0
4627,friu1240,Friulian,fur,language,Eurasia,46.1473,13.0493
4719,gali1258,Galician,glg,language,Eurasia,42.2446,-7.5343
4746,gami1243,Gamilaraay,kld,language,Australia,-29.9037,149.543
4769,gand1255,Ganda,lug,language,Africa,0.66884,32.15153
4925,geez1241,Geez,gez,language,Africa,10.1342,40.6821
4949,nucl1302,Georgian,kat,language,Eurasia,41.850396999999994,43.78613
4959,stan1295,German,deu,language,Eurasia,48.648999999999994,12.4676
5012,gilb1244,Gilbertese,gil,language,Papunesia,-1.34,176.44
5146,goth1244,Gothic,got,language,Eurasia,46.9304,29.9786
5266,guja1252,Gujarati,guj,language,Eurasia,22.686999999999998,71.0962
5344,gugu1255,Guugu Yimidhirr,kky,language,Australia,-14.9424,144.83100000000002
5389,gwic1235,Gwich'in,gwi,language,North America,67.4307,-142.963
5444,hait1244,Haitian,hat,language,North America,18.795135000000002,-72.136115
5450,hakk1236,Hakka Chinese,hak,language,Eurasia,25.0,116.0
5462,halk1245,Halkomelem,hur,language,North America,48.0751,-122.029
5547,haus1257,Hausa,hau,language,Africa,11.1513,8.7804
5558,hawa1245,Hawaiian,haw,language,Papunesia,19.6297,-155.43
5637,hili1240,Hiligaynon,hil,language,Papunesia,10.4018,122.97399999999999
5643,hind1269,Hindi,hin,language,Eurasia,25.0,77.0
5656,hitt1242,Hittite,hit,language,Eurasia,,
5700,ainu1240,Hokkaido Ainu,ain,language,Eurasia,43.633654,142.46167
5728,hopi1249,Hopi,hop,language,North America,35.7653,-110.535
5818,hung1274,Hungarian,hun,language,Eurasia,46.9068585714,19.6555271429
5893,icel1247,Icelandic,isl,language,Eurasia,63.4837,-19.0212
6061,indo1316,Indonesian,ind,language,Papunesia,-7.33458,109.71600000000001
6063,indo1318,Indo-Portuguese,idb,language,Eurasia,7.25,80.67
6070,ines1240,Ineseño,inz,language,North America,34.6169,-120.08
6093,inte1239,Interlingua (International Auxiliary Language Association),ina,language,Eurasia,48.203,2.615
6135,iris1253,Irish,gle,language,Eurasia,53.2186,-7.6150899999999995
6188,isth1244,Isthmus Zapotec,zai,language,North America,16.4548,-94.8444
6191,istr1245,Istro Romanian,ruo,language,Eurasia,45.433,14.2
6196,ital1282,Italian,ita,language,Eurasia,43.0464,12.6489
6314,jama1262,Jamaican Creole English,jam,language,North America,18.13,-77.2612
6339,nucl1643,Japanese,jpn,language,Eurasia,35.0,135.0
6365,java1254,Javanese,jav,language,Papunesia,-0.572307,110.885
6570,kaba1278,Kabardian,kbd,language,Eurasia,43.5082,43.3918
6719,kala1399,Kalaallisut,kal,language,Eurasia,69.3761,-52.864
6763,kalo1256,Kalo Finnish Romani,rmf,language,Eurasia,60.45,24.43
6897,nucl1305,Kannada,kan,language,Eurasia,13.5878,76.1198
6992,kare1335,Karelian,krl,language,Eurasia,65.1691,30.8655
7048,kash1280,Kashaya,kju,language,North America,38.5424,-123.08
7052,kash1274,Kashubian,csb,language,Eurasia,54.2996,18.6163
7113,kaur1267,Kaurna,zku,language,Australia,-34.34966141,138.4800794
7132,kawi1241,Kawi,kaw,language,Papunesia,,
7161,kaza1248,Kazakh,kaz,language,Eurasia,41.8729,65.7709
7312,khak1248,Khakas,kjh,language,Eurasia,50.7393,107.169
7445,kich1262,K'iche',quc,language,North America,14.5278,-91.1696
7480,kimb1241,Kimbundu,kmb,language,Africa,-8.97835,14.8893
7506,kiny1244,Kinyarwanda,kin,language,Africa,-1.56771,29.6441
7523,kirg1245,Kirghiz,kir,language,Eurasia,42.0,74.0
7677,kols1241,Kölsch,ksh,language,Eurasia,50.946999999999996,6.9270000000000005
