glottocode,name,isocodes,level,macroarea,latitude,longitude
aala1237,Aalawa,,dialect,Papunesia,,
aant1238,Aantantara,,dialect,Papunesia,,
aari1239,Aari,aiw,language,Africa,5.95034,36.5721
aari1240,Aariya,aay,language,Eurasia,,
aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648
aata1238,Aatasaara,,dialect,Papunesia,,
abaa1238,Aba,,dialect,Eurasia,,
abab1239,Ababda,,dialect,Africa,,
abad1241,Abadi,kbt,language,Papunesia,-9.03389,146.992
abad1240,Abadzex,,dialect,Eurasia,,
abag1245,Abaga,abg,language,Papunesia,-6.12028,145.665
abai1239,Abai,,dialect,Papunesia,,
abai1240,Abai Sungai,abf,language,Papunesia,5.55394,118.306
abai1241,Abai Tubu-Abai Sembuak,,language,Eurasia,,
abak1242,Abak,,dialect,Africa,,
abak1243,Abaka,,dialect,Papunesia,,
abal1238,Abaletti,,dialect,Papunesia,,
abam1239,Abam,,dialect,Papunesia,,
aban1243,Abancay,,dialect,South America,,
aban1242,Abanyom,abm,language,Africa,6.30619,8.63055
abau1245,Abau,aau,language,Papunesia,-3.97222,141.324
abaw1238,Abawa,,dialect,Africa,,
abay1238,Abayongo,,dialect,Africa,,
abaz1241,Abaza,abq,language,Eurasia,41.1214,42.7273
abbe1238,Abbey-Ve,,dialect,Africa,,
abbr1238,Abbruzzesi,,dialect,Eurasia,,
abda1238,'Abd Al-Kuri,,dialect,Eurasia,,
abee1242,Abé,aba,language,Africa,5.59682,-4.38497
abee1243,Abe (Anyin),,dialect,Africa,,
abed1238,Abedju-Azaki,,dialect,Africa,,
aben1247,Abeng,,dialect,Eurasia,,
aben1248,A'beng,,dialect,Eurasia,,
aben1249,Abenlen Ayta,abp,language,Papunesia,15.4131,120.2
abgu1238,Abgue,,dialect,Africa,,
abid1235,Abidji,abi,language,Africa,5.65656,-4.58421
abie1238,Abiem,,dialect,Africa,,
abig1238,Abigar,,dialect,Africa,,
abil1238,Abiliang,,dialect,Africa,,
abin1242,Abini,,dialect,Africa,,
abin1243,Abinomn,bsa,language,Papunesia,-2.92281,138.891
