src_lang,to_lang,count
aaq,eng,2
abe,eng,2
abs,zsm,1
adt,eng,1
afr,afr,658
afr,ara,1
afr,deu,3
afr,eng,44
afr,fin,1
afr,fra,2
afr,ind,1
afr,ita,1
afr,msa,3
afr,nld,236
afr,por,2
afr,rus,1
afr,spa,1
aii,aii,2
aii,ara,2
aii,eng,3
aii,fra,1
aii,grc,10
aii,heb,9
aii,lat,1
aii,syc,2
ain,ain,18
ain,jpn,5
ain,por,1
akk,akk,40
akk,ara,1
akk,eng,8
akk,fas,1
akk,grc,2
akk,heb,1
akk,por,1
akk,rus,1
akk,sux,9
akk,syc,26
akk,xcl,2
akz,akz,4
akz,eng,3
akz,mod,1
akz,spa,1
ale,eng,3
ale,rus,2
alq,eng,1
alq,fra,1
amh,amh,12
amh,eng,6
amh,fra,2
amh,pol,1
amj,eng,1
ang,ang,5823
ang,dan,2
ang,eng,1050
ang,enm,1389
ang,epo,1
ang,fao,2
ang,fra,4
ang,fro,14
ang,gla,2
ang,gle,3
ang,glv,2
ang,gml,1
ang,grc,2
ang,isl,2
ang,lat,79
ang,non,27
ang,osx,1
ang,p_gem,4
ang,p_gmw,1
ang,sco,105
ang,sga,4
ang,xno,1
apw,apw,4
apw,eng,1
apw,spa,1
ara,afr,1
ara,aii,2
ara,akk,1
ara,ara,2575
ara,ary,1
ara,arz,4
ara,aze,90
ara,bak,23
ara,ben,21
ara,bul,5
ara,cat,23
ara,che,2
ara,crh,16
ara,dan,1
ara,deu,3
ara,ell,5
ara,eng,307
ara,epo,1
ara,fas,676
ara,fin,1
ara,fra,56
ara,frm,3
ara,fro,10
ara,gle,2
ara,glg,3
ara,gmh,1
ara,grc,23
ara,guj,5
ara,hau,2
ara,hbs,6
ara,heb,25
ara,hin,128
ara,hun,7
ara,hye,24
ara,ind,24
ara,ita,29
ara,kat,23
ara,kaz,2
ara,kir,1
ara,kur,8
ara,lad,6
ara,lat,39
ara,lav,4
ara,mar,1
ara,mlt,278
ara,msa,21
ara,nap,1
ara,nld,4
ara,nno,3
ara,nob,4
ara,ota,155
ara,pal,10
ara,pan,2
ara,phn,2
ara,pol,9
ara,por,25
ara,pus,18
ara,ron,1
ara,rus,24
ara,san,3
ara,scn,10
ara,slk,1
ara,slv,1
ara,spa,148
ara,sqi,8
ara,swa,41
ara,syc,58
ara,tat,6
ara,tel,3
ara,tgk,117
ara,tuk,3
ara,tur,489
ara,uig,16
ara,urd,129
ara,uzb,41
ara,xaa,8
ara,xcl,6
ara,xno,2
ara,zsm,140
arg,arg,40
arg,enm,2
arg,lat,50
arg,rus,1
arg,sco,1
arg,spa,2
arn,arn,18
arn,aym,1
arn,ell,1
arn,eng,4
arn,lat,1
arn,spa,13
arq,fra,2
arw,spa,3
ary,ara,1
ary,ary,2
ary,eng,6
ary,fra,7
arz,ara,4
arz,arz,55
arz,eng,4
arz,fas,6
arz,fra,1
arz,grc,1
arz,ota,4
arz,tur,3
ase,ase,270
ase,eng,1
ast,ast,6187
ast,cat,1
ast,grc,5
ast,lat,253
auc,eng,1
ava,swe,1
ave,eng,16
ave,fas,8
ave,grc,2
ave,pal,1
axm,hye,6
axm,xcl,1
ayl,ayl,4
ayl,ita,2
ayl,tur,5
aym,arn,1
aym,nld,1
aym,por,1
aze,ara,90
aze,aze,1220
aze,eng,3
aze,fas,80
aze,fra,3
aze,grc,2
aze,hye,12
aze,ita,1
aze,jpn,3
aze,kat,1
aze,kur,1
aze,lat,1
aze,otk,1
aze,por,1
aze,ron,1
aze,rus,19
aze,xcl,1
bak,ara,23
bak,bak,32
bak,eng,2
bak,fas,12
bak,ota,1
bak,otk,19
bak,por,1
bak,rus,4
bar,bar,2
bar,deu,5
bar,gmh,1
bar,hun,16
bar,lat,1
bar,spa,1
bdy,eng,1
bel,bel,73
bel,chu,5
bel,eng,2
bel,grc,2
bel,heb,1
bel,lat,1
bel,lit,1
bel,msa,1
bel,orv,5
ben,ara,21
ben,ben,1704
ben,eng,106
ben,fas,11
ben,hun,1
ben,kan,1
ben,lat,1
ben,msa,1
ben,por,1
ben,rhg,7
ben,rus,1
ben,san,130
ben,tha,1
ben,urd,1
bft,eng,1
bis,eng,2
bod,bod,6
bod,eng,14
bod,fra,1
bod,hbs,2
bod,hun,1
bod,kat,1
bod,pol,1
bod,por,1
bod,rus,2
bod,slv,1
bre,bre,1346
bre,eng,4
bre,fra,18
bre,fro,8
bre,grc,4
bre,lat,42
bre,obr,3
bre,obt,19
bre,xbm,13
bre,xmb,1
bua,rus,1
bul,ara,5
bul,bul,3885
bul,ces,1
bul,chu,11
bul,deu,8
bul,ell,2
bul,eng,7
bul,fas,2
bul,fra,10
bul,grc,11
bul,hbs,1
bul,hun,5
bul,hye,1
bul,ita,5
bul,jpn,2
bul,lat,7
bul,ota,19
bul,pol,1
bul,ron,25
bul,rus,5
bul,san,1
bul,tur,10
byn,eng,1
cat,ara,23
cat,ast,1
cat,cat,22393
cat,ces,2
cat,dan,1
cat,deu,2
cat,eng,46
cat,enm,1
cat,eus,2
cat,fas,1
cat,fin,1
cat,fra,68
cat,frm,3
cat,fro,10
cat,got,1
cat,grc,52
cat,hbs,1
cat,heb,3
cat,hun,1
cat,ita,24
cat,jpn,3
cat,lad,1
cat,lat,1749
cat,non,1
cat,nor,1
cat,por,2
cat,pro,25
cat,rmq,1
cat,rus,2
cat,scn,1
cat,spa,79
cat,swe,1
cat,tnq,1
ccc,spa,36
ceb,ceb,111
ceb,spa,1
ces,bul,1
ces,cat,2
ces,ces,39170
ces,chu,6
ces,dan,1
ces,deu,42
ces,eng,58
ces,epo,1
ces,fin,2
ces,fra,62
ces,frm,1
ces,gla,1
ces,gmh,3
ces,goh,5
ces,grc,15
ces,hbs,10
ces,heb,2
ces,hun,10
ces,isl,1
ces,ita,6
ces,lat,49
ces,lav,1
ces,mkd,1
ces,nld,2
ces,non,3
ces,oci,1
ces,pol,11
ces,por,2
ces,rus,8
ces,san,1
ces,slk,3
ces,slv,3
ces,swe,1
ces,tur,2
ces,zsm,1
cha,cha,13
cha,spa,1
chc,eng,1
che,ara,2
che,che,38
che,fas,1
che,kat,1
che,lat,1
che,rus,1
che,xcl,5
chn,eng,5
chn,fra,1
cho,eng,2
cho,frc,1
chr,chr,24
chr,eng,2
chu,bel,5
chu,bul,11
chu,ces,6
chu,chu,880
chu,goh,2
chu,got,8
chu,grc,12
chu,hbs,15
chu,lat,5
chu,mkd,7
chu,non,1
chu,orv,3
chu,pol,6
chu,ron,1
chu,rus,44
chu,slk,2
chu,slv,4
chu,ukr,11
cic,cic,10
cic,eng,1
cmn,cmn,7400
cmn,deu,1
cmn,eng,75
cmn,fra,4
cmn,hun,1
cmn,jpn,41
cmn,kat,1
cmn,kor,3
cmn,mon,2
cmn,msa,5
cmn,pli,1
cmn,por,2
cmn,ron,1
cmn,rus,13
cmn,san,5
cmn,spa,1
cmn,tgl,1
cmn,tha,5
cmn,uig,6
cmn,vie,1
cmn,yue,1
cmn,zsm,3
cop,egy,1
cop,eng,1
cop,grc,1
cor,cor,1132
cor,eng,2
cor,lat,25
cor,oco,5
cor,wlm,1
cre,cre,2
cre,eng,3
crh,ara,16
crh,crh,160
crh,deu,27
crh,ell,2
crh,eng,23
crh,fas,19
crh,fra,60
crh,grc,3
crh,hye,1
crh,ita,8
crh,lat,55
crh,nld,3
crh,rus,50
crh,spa,3
crh,swe,1
crh,ukr,1
crh,xcl,3
csb,csb,4
csb,deu,1
cym,cym,2164
cym,eng,49
cym,gla,1
cym,grc,1
cym,lat,47
cym,owl,23
cym,sga,6
cym,wlm,30
dan,ang,2
dan,ara,1
dan,cat,1
dan,ces,1
dan,dan,48023
dan,deu,147
dan,dum,2
dan,ell,1
dan,eng,131
dan,est,2
dan,fao,15
dan,fin,6
dan,fra,295
dan,fro,4
dan,gle,1
dan,gml,239
dan,goh,2
dan,grc,66
dan,gsw,1
dan,heb,4
dan,hun,1
dan,isl,71
dan,ita,33
dan,kal,40
dan,lat,247
dan,mri,1
dan,nds,5
dan,nld,15
dan,nno,2
dan,nob,19
dan,non,1132
dan,nor,11
dan,ofs,1
dan,osx,3
dan,pol,4
dan,por,3
dan,rus,4
dan,slk,1
dan,slv,1
dan,spa,11
dan,swe,23
dan,vol,1
del,eng,1
dep,eng,1
deu,afr,3
deu,ara,3
deu,bar,5
deu,bul,8
deu,cat,2
deu,ces,42
deu,cmn,1
deu,crh,27
deu,csb,1
deu,dan,147
deu,deu,173297
deu,dsb,6
deu,dum,3
deu,ell,2
deu,eng,460
deu,enm,2
deu,epo,93
deu,est,24
deu,fao,2
deu,fas,3
